Company,Location,Date,Rocket,Mission,RocketStatus,MissionStatus,Country
Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",18/07/2011,Zenit-3 SLBF,Spektr-R,Retired,Success,Kazakhstan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",05/08/2011,Atlas V 551,Juno,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",06/08/2011,Ariane 5 ECA,"Astra 1N, BSAT-3C (JCSAT-110R)",Active,Success,France
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",17/08/2011,Dnepr,Sich 2 & Others,Retired,Success,Russia
ULA,"SLC-17B, Cape Canaveral AFS, Florida, USA",10/09/2011,Delta II 7920H-10C,GRAIL,Retired,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",11/09/2011,H-IIA 202,Michibiki 1,Active,Success,Japan
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",21/09/2011,Ariane 5 ECA,"Arabsat-5C, SES-2",Active,Success,France
MHI,"LA-Y1, Tanegashima Space Center, Japan",23/09/2011,H-IIA 202,IGS-Optical 4,Active,Success,Japan
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",24/09/2011,Zenit-3 SL,Atlantic Bird 7,Retired,Success,Pacific Ocean
Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA",27/09/2011,Minotaur IV,TacSat-4,Active,Success,USA
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",29/09/2011,Long March 2F/T,Tiangong-1,Active,Success,China
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",05/10/2011,Zenit-3 SLB,Intelsat 18,Retired,Success,Kazakhstan
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",12/10/2011,PSLV-CA,Megha-Tropiques & Rideshares,Active,Success,India
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",21/10/2011,Soyuz ST-B/Fregat-MT,Galileo IOV FM01-FM02,Active,Success,France
ULA,"SLC-2W, Vandenberg AFB, California, USA",28/10/2011,Delta II 7920-10C,Suomi NPP / ELaNa III,Retired,Success,USA
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",31/10/2011,Long March 2F/G,Shenzhou 8,Active,Success,China
Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",08/11/2011,Zenit-2 FG,Fobos-Grunt & Yinghuo 1,Retired,Success,Kazakhstan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",26/11/2011,Atlas V 541,Mars Science Laboratory,Active,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",12/12/2011,H-IIA 202,IGS-Radar 3,Active,Success,Japan
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",17/12/2011,Soyuz ST-A/Fregat,"Pl??iades 1A, SSOT, Elisa",Active,Success,France
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",20/01/2012,"Delta IV Medium+ (5,4)",WGS-4,Retired,Success,USA
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",03/02/2012,Safir-1B,Navid,Retired,Success,Iran
ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",13/02/2012,Vega,"Lares, AlmaSat-1 & 7 cubesats",Active,Success,France
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",24/02/2012,Atlas V 551,MUOS-1,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",23/03/2012,Ariane 5 ES,Edoardo Amaldi ATV,Retired,Success,France
ULA,"SLC-6, Vandenberg AFB, California, USA",03/04/2012,"Delta IV Medium+ (5,2)",NROL-25,Retired,Success,USA
KCST,"Pad 1, Sohae Satellite Launching Station, North Korea",12/04/2012,Unha-3,Kwangmyngsng-3,Active,Failure,North Korea
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",26/04/2012,PSLV-XL,RISAT-1,Active,Success,India
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",26/04/2012,PSLV-XL,PSLV- C19 RISAT-1,Active,Success,India
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",04/05/2012,Atlas V 531,AEHF-2,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",15/05/2012,Ariane 5 ECA,"JCSAT-13, Vinasat-2",Active,Success,France
MHI,"LA-Y1, Tanegashima Space Center, Japan",17/05/2012,H-IIA 202,"Shizuku, KOMPSAT 3 & Others",Active,Success,Japan
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",22/05/2012,Falcon 9 v1.0,COTS-2+,Retired,Success,USA
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",23/05/2012,Safir-1B+,Unknown Payload,Active,Failure,Iran
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",01/06/2012,Zenit-3 SL,Intelsat-19,Retired,Success,Pacific Ocean
Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA",13/06/2012,Pegasus XL,NuSTAR,Active,Success,USA
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",16/06/2012,Long March 2F/G,Shenzhou 9,Active,Success,China
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",20/06/2012,Atlas V 401,NROL-38,Active,Success,USA
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",29/06/2012,Delta IV Heavy,NROL-15,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",05/07/2012,Ariane 5 ECA,"EchoStar XVII, MSG-3",Active,Success,France
MHI,"LA-Y2, Tanegashima Space Center, Japan",21/07/2012,H-IIB,HTV-3,Retired,Success,Japan
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",28/07/2012,Rokot/Briz KM,Cosmos 2481 & Goniets-M 13 and 15,Retired,Success,Russia
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",02/08/2012,Ariane 5 ECA,"Intelsat 20, HYLAS 2",Active,Success,France
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",19/08/2012,Zenit-3 SL,Intelsat-21,Retired,Success,Pacific Ocean
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",30/08/2012,Atlas V 401,Van Allen Probes (RBSP),Active,Success,USA
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",09/09/2012,PSLV-CA,SPOT-6 & mRESINS & PROITERES,Active,Success,India
ULA,"SLC-3E, Vandenberg AFB, California, USA",13/09/2012,Atlas V 401,NROL-36,Active,Success,USA
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",22/09/2012,Safir-1B+,Unknown Payload,Active,Failure,Iran
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",28/09/2012,Ariane 5 ECA,"Astra 2F, GSAT-10",Active,Success,France
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",04/10/2012,"Delta IV Medium+ (4,2)",GPS IIF-3,Retired,Success,USA
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",08/10/2012,Falcon 9 v1.0,CRS-1,Retired,Partial Failure,USA
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",12/10/2012,Soyuz ST-B/Fregat-MT,Galileo IOV FM03-FM04,Active,Success,France
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/11/2012,Ariane 5 ECA,"Eutelsat 21B, Star One C3",Active,Success,France
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",02/12/2012,Soyuz ST-A/Fregat,Pl??iades 1B,Active,Success,France
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",03/12/2012,Zenit-3 SL,Eutelsat-70B,Retired,Success,Pacific Ocean
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",11/12/2012,Atlas V 501,OTV-3,Retired,Success,USA
KCST,"Pad 1, Sohae Satellite Launching Station, North Korea",12/12/2012,Unha-3,Kwangmyngsng-3 (Unit 2),Active,Success,North Korea
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",19/12/2012,Ariane 5 ECA,"Skynet 5D, Mexsat-3",Active,Success,France
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",15/01/2013,Rokot/Briz KM,Cosmos 2482 to 2484,Retired,Partial Failure,Russia
MHI,"LA-Y1, Tanegashima Space Center, Japan",27/01/2013,H-IIA 202,IGS-Optical 5V & IGS-Radar 4,Active,Success,Japan
KARI,"LC-1, Naro Space Center, South Korea",30/01/2013,Naro-1,STSAT-2C,Retired,Success,South Korea
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",31/01/2013,Atlas V 401,TDRS-K,Active,Success,USA
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",01/02/2013,Zenit-3 SL,Intelsat-27,Retired,Failure,Pacific Ocean
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",07/02/2013,Ariane 5 ECA,"Amazonas-3, Azerspace-1 (Africasat-1A)",Active,Success,France
ULA,"SLC-3E, Vandenberg AFB, California, USA",11/02/2013,Atlas V 401,Landsat 8,Active,Success,USA
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",25/02/2013,PSLV-CA,SARAL & Rideshares,Active,Success,India
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",01/03/2013,Falcon 9 v1.0,CRS-2,Retired,Success,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",19/03/2013,Atlas V 401,SBIRS GEO-2,Active,Success,USA
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",21/04/2013,Antares 110,Antares A-ONE,Retired,Success,USA
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",07/05/2013,Vega,"Proba-V, VNREDSat-1A & ESTCube-1",Active,Success,France
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",15/05/2013,Atlas V 401,GPS IIF-4,Active,Success,USA
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",25/05/2013,"Delta IV Medium+ (5,4)",WGS-5,Retired,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",05/06/2013,Ariane 5 ES,Albert Einstein ATV,Retired,Success,France
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",11/06/2013,Long March 2F/G,Shenzhou 10,Active,Success,China
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",25/06/2013,Soyuz ST-B/Fregat-MT,O3b FM01-FM02/FM04-FM05,Active,Success,France
VKS RF,"Site 175/59, Baikonur Cosmodrome, Kazakhstan",27/06/2013,Strela,Cosmos 2487,Retired,Success,Kazakhstan
Northrop,"Stargazer, Vandenberg AFB, California, USA",28/06/2013,Pegasus XL,IRIS,Active,Success,USA
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",01/07/2013,PSLV-XL,IRNSS-1A,Active,Success,India
VKS RF,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",02/07/2013,Proton-M/DM-3,"Cosmos 2488, 2489 & 2490",Active,Failure,Kazakhstan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",19/07/2013,Atlas V 551,MUOS-2,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",25/07/2013,Ariane 5 ECA,"Alphasat I-XL, INSAT-3D",Active,Success,France
MHI,"LA-Y2, Tanegashima Space Center, Japan",03/08/2013,H-IIB,HTV-4,Retired,Success,Japan
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",08/08/2013,"Delta IV Medium+ (5,4)",WGS-6,Retired,Success,USA
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",22/08/2013,Dnepr,KompSat-5,Retired,Success,Russia
ULA,"SLC-6, Vandenberg AFB, California, USA",28/08/2013,Delta IV Heavy,NROL-65,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",29/08/2013,Ariane 5 ECA,"Eutelsat 25B/Es'hail 1, GSAT-7",Active,Success,France
Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan",31/08/2013,Zenit-3 SLB,AMOS 4,Retired,Success,Kazakhstan
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",07/09/2013,Minotaur V,LADEE,Active,Success,USA
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",11/09/2013,Rokot/Briz KM,"Goniets-M 14, 16 and 17",Retired,Success,Russia
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",13/09/2013,Antares 110,CRS Orb-D1,Retired,Success,USA
JAXA,"Mu Pad, Uchinoura Space Center, Japan",14/09/2013,Epsilon Demo,SPRINT-A,Retired,Success,Japan
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",18/09/2013,Atlas V 531,AEHF-3,Active,Success,USA
CASIC,"Jiuquan Satellite Launch Center, China",25/09/2013,Kuaizhou 1,Kuaizhou 1,Retired,Success,China
SpaceX,"SLC-4E, Vandenberg AFB, California, USA",29/09/2013,Falcon 9 v1.1,CASSIOPE,Retired,Success,USA
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",05/11/2013,PSLV-XL,Mars Orbiter Mission,Active,Success,India
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",18/11/2013,Atlas V 401,MAVEN,Active,Success,USA
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",20/11/2013,Minotaur I,ORS-3,Active,Success,USA
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",21/11/2013,Dnepr,DubaiSat 2 & Others,Retired,Success,Russia
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",22/11/2013,Rokot/Briz KM,SWARM,Retired,Success,Russia
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",03/12/2013,Falcon 9 v1.1,SES-8,Retired,Success,USA
ULA,"SLC-3E, Vandenberg AFB, California, USA",06/12/2013,Atlas V 501,NROL-39,Retired,Success,USA
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",19/12/2013,Soyuz ST-B/Fregat-MT,Gaia,Active,Success,France
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",25/12/2013,Rokot/Briz KM,Cosmos 2488 to 2491,Retired,Success,Russia
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",28/12/2013,Soyuz 2.1v/Volga,Cosmos 2492 and 2493 & AIST-1 1,Active,Success,Russia
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",05/01/2014,GSLV Mk II,GSAT-14,Active,Success,India
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",06/01/2014,Falcon 9 v1.1,Thaicom 6,Retired,Success,USA
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",09/01/2014,Antares 120,CRS Orb-1,Retired,Success,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",24/01/2014,Atlas V 401,TDRS-L,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",06/02/2014,Ariane 5 ECA,"ABS-2, Athena-Fidus",Active,Success,France
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",21/02/2014,"Delta IV Medium+ (4,2)",GPS IIF-5,Retired,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",27/02/2014,H-IIA 202,GPM-Core & Others,Active,Success,Japan
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",22/03/2014,Ariane 5 ECA,"Astra 5B, Amazonas 4A",Active,Success,France
ULA,"SLC-3E, Vandenberg AFB, California, USA",03/04/2014,Atlas V 401,DMSP-5D3 F19,Active,Success,USA
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",03/04/2014,Soyuz ST-A/Fregat-M,Sentinel 1A,Active,Success,France
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",04/04/2014,PSLV-XL,IRNSS-1B,Active,Success,India
IAI,"Pad 1, Palmachim Airbase, Israel",09/04/2014,Shavit-2,Ofek-10,Active,Success,Israel
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",10/04/2014,Atlas V 541,NROL-67,Active,Success,USA
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",18/04/2014,Falcon 9 v1.1,CRS-3,Retired,Success,USA
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",30/04/2014,Vega,KazEOSat-1,Active,Success,France
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",17/05/2014,"Delta IV Medium+ (4,2)",GPS IIF-6,Retired,Success,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",22/05/2014,Atlas V 401,NROL-33,Active,Success,USA
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",23/05/2014,Rokot/Briz KM,Cosmos 2496 to 2499,Retired,Success,Russia
MHI,"LA-Y1, Tanegashima Space Center, Japan",24/05/2014,H-IIA 202,"Daichi 2, SPROUT & Others",Active,Success,Japan
Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean",24/05/2014,Zenit-3 SL,Eutelsat-3B,Retired,Success,Pacific Ocean
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",19/06/2014,Dnepr,Deimos 2,Retired,Success,Russia
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",30/06/2014,PSLV-CA,SPOT-7 & Rideshares,Active,Success,India
ULA,"SLC-2W, Vandenberg AFB, California, USA",02/07/2014,Delta II 7320-10C,OCO-2,Retired,Success,USA
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",03/07/2014,Rokot/Briz KM,Goniets-M 18 to 20,Retired,Success,Russia
VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia",09/07/2014,Angara 1.2,Demo Flight,Active,Success,Russia
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",10/07/2014,Soyuz ST-B/Fregat-MT,O3b FM03/FM06-FM08,Active,Success,France
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",13/07/2014,Antares 120,CRS Orb-2,Retired,Success,USA
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",14/07/2014,Falcon 9 v1.1,OG2 Mission 1,Retired,Success,USA
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",28/07/2014,"Delta IV Medium+ (4,2)",AFSPC-4,Retired,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",29/07/2014,Ariane 5 ES,Georges Lema??tre ATV,Retired,Success,France
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",02/08/2014,Atlas V 401,GPS IIF-7,Active,Success,USA
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",05/08/2014,Falcon 9 v1.1,AsiaSat 8,Retired,Success,USA
ULA,"SLC-3E, Vandenberg AFB, California, USA",13/08/2014,Atlas V 401,WorldView 3,Active,Success,USA
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",22/08/2014,Soyuz ST-B/Fregat-MT,Galileo FOC FM01-FM02,Active,Partial Failure,France
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",07/09/2014,Falcon 9 v1.1,AsiaSat 6,Retired,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",11/09/2014,Ariane 5 ECA,"MEASAT 3b, Optus 10",Active,Success,France
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",17/09/2014,Atlas V 401,CLIO,Active,Success,USA
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",21/09/2014,Falcon 9 v1.1,CRS-4,Retired,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",07/10/2014,H-IIA 202,Himawari 8,Active,Success,Japan
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",16/10/2014,PSLV-XL,IRNSS-1C,Active,Success,India
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",16/10/2014,Ariane 5 ECA,"Intelsat 30, ARSAT-1",Active,Success,France
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",28/10/2014,Antares 130,CRS Orb-3,Retired,Failure,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",29/10/2014,Atlas V 401,GPS IIF-8,Active,Success,USA
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",06/11/2014,Dnepr,Sasuke & Others,Retired,Success,Russia
CASIC,"Site 95, Jiuquan Satellite Launch Center, China",21/11/2014,Kuaizhou 1,Kuaizhou 2,Retired,Success,China
MHI,"LA-Y1, Tanegashima Space Center, Japan",03/12/2014,H-IIA 202,Hayabusa 2 & Others,Active,Success,Japan
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",05/12/2014,Delta IV Heavy,EFT-1,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",06/12/2014,Ariane 5 ECA,"DirecTV-14, GSAT-16",Active,Success,France
ULA,"SLC-3E, Vandenberg AFB, California, USA",13/12/2014,Atlas V 541,NROL-35,Active,Success,USA
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",18/12/2014,GSLV Mk III,Demo Flight (CARE),Active,Success,India
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",18/12/2014,Soyuz ST-B/Fregat-MT,O3b FM09-FM12,Active,Success,France
VKS RF,"Site 175/59, Baikonur Cosmodrome, Kazakhstan",19/12/2014,Strela,Kondor-E,Retired,Success,Kazakhstan
Khrunichev,"Site 35/1, Plesetsk Cosmodrome, Russia",23/12/2014,Angara A5/Briz-M,Demo Flight,Active,Success,Russia
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",10/01/2015,Falcon 9 v1.1,CRS-5,Retired,Success,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",21/01/2015,Atlas V 551,MUOS-3,Active,Success,USA
ULA,"SLC-2W, Vandenberg AFB, California, USA",31/01/2015,Delta II 7320-10C,SMAP / ELaNa X,Retired,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",01/02/2015,H-IIA 202,IGS-Radar 5,Active,Success,Japan
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",02/02/2015,Safir-1B+,Fajr,Active,Success,Iran
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",11/02/2015,Vega,IXV,Active,Success,France
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",11/02/2015,Falcon 9 v1.1,DSCOVR,Retired,Success,USA
ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",17/02/2015,Safir-1B+,Unknown Payload,Active,Failure,Iran
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",02/03/2015,Falcon 9 v1.1,ABS-3A & EUTELSAT 115 West B,Retired,Success,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",13/03/2015,Atlas V 421,MMS,Active,Success,USA
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",25/03/2015,"Delta IV Medium+ (4,2)",GPS IIF-9,Retired,Success,USA
Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia",25/03/2015,Dnepr,KompSat-3A,Retired,Success,Russia
MHI,"LA-Y1, Tanegashima Space Center, Japan",26/03/2015,H-IIA 202,IGS-Optical 5,Active,Success,Japan
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",27/03/2015,Soyuz ST-B/Fregat-MT,Galileo FOC FM03-FM04,Active,Success,France
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",28/03/2015,PSLV-XL,IRNSS-1D,Active,Success,India
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",31/03/2015,Rokot/Briz KM,Cosmos 2504 & Goniets-M 21 to 23,Retired,Success,Russia
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",15/04/2015,Falcon 9 v1.1,CRS-6,Retired,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",26/04/2015,Ariane 5 ECA,"Thor 7, SICRAL-2",Active,Success,France
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",27/04/2015,Falcon 9 v1.1,Turkmen??lem52E/MonacoSat,Retired,Success,USA
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",29/04/2015,New Shepard,NS-1,Active,Success,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",20/05/2015,Atlas V 501,OTV-4,Retired,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",27/05/2015,Ariane 5 ECA,"DirecTV-15, Sky Mexico 1",Active,Success,France
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",23/06/2015,Vega,Sentinel-2A,Active,Success,France
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",28/06/2015,Falcon 9 v1.1,CRS-7,Retired,Failure,USA
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",10/07/2015,PSLV-XL,UK-DMC3A/B/C & Rideshares,Active,Success,India
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",15/07/2015,Atlas V 401,GPS IIF-10,Active,Success,USA
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",15/07/2015,Ariane 5 ECA,"Star One C4, MSG-4",Active,Success,France
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",24/07/2015,"Delta IV Medium+ (5,4)",WGS-7,Retired,Success,USA
MHI,"LA-Y2, Tanegashima Space Center, Japan",19/08/2015,H-IIB,HTV-5,Retired,Success,Japan
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",20/08/2015,Ariane 5 ECA,"Eutelsat 8 West B, Intelsat 34",Active,Success,France
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",27/08/2015,GSLV Mk II,GSAT-6,Active,Success,India
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",02/09/2015,Atlas V 551,MUOS-4,Active,Success,USA
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",11/09/2015,Soyuz ST-B/Fregat-MT,Galileo FOC FM05-FM06,Active,Success,France
CASC,"LC-16, Taiyuan Satellite Launch Center, China",19/09/2015,Long March 6,Demo Flight,Active,Success,China
VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",23/09/2015,Rokot/Briz KM,Cosmos 2507 to 2509,Retired,Success,Russia
CASC,"Site 95, Jiuquan Satellite Launch Center, China",25/09/2015,Long March 11,Pujian 1 & Others,Active,Success,China
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",28/09/2015,PSLV-XL,Astrosat & Rideshares,Active,Success,India
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",30/09/2015,Ariane 5 ECA,"NBN Co 1A, ARSAT-2",Active,Success,France
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",02/10/2015,Atlas V 421,Morelos-3,Active,Success,USA
ULA,"SLC-3E, Vandenberg AFB, California, USA",08/10/2015,Atlas V 401,NROL-55,Active,Success,USA
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",31/10/2015,Atlas V 401,GPS IIF-11,Active,Success,USA
Sandia,"LP-41, Kauai, Pacific Missile Range Facility",04/11/2015,Super Stripy,"HiakaSat, STACEM & Others",Active,Failure,Pacific Missile Range Facility
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/11/2015,Ariane 5 ECA,"Arabsat 6B, GSAT-15",Active,Success,France
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",23/11/2015,New Shepard,NS-2,Active,Success,USA
MHI,"LA-Y1, Tanegashima Space Center, Japan",24/11/2015,H-IIA 204,Telstar 12 Vantage,Active,Success,Japan
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",03/12/2015,Vega,LISA Pathfinder,Active,Success,France
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",05/12/2015,Soyuz 2.1v/Volga,Cosmos 2511 and 2512,Active,Partial Failure,Russia
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",06/12/2015,Atlas V 401,CRS OA-4,Active,Success,USA
